"State","Store_name","Street_add","City","Postcode","Xcoord","Ycoord","uuid"
"Calfornia","BevMo!","1320 Hilltop Drive","Redding","96003","-122.359656","40.588731","171"
"Calfornia","BevMo!","103 S. Mills Road, Suite 103","Ventura","93003","-119.248868","34.271587","172"
"Calfornia","BevMo!","3730 E. Foothill Blvd.","Pasadena","91107","-118.072306","34.149981","173"
"Calfornia","BevMo!","5205 Prospect Road, Suite 157","San Jose","95129","-121.992815","37.292711","174"
"Calfornia","BevMo!","2425 San Ramon Valley Blvd","San Ramon","94583","-121.979169","37.774560","175"
"Calfornia","BevMo!","135 West Ventura Blvd, Suite A","Camarillo","93010","-119.070337","34.217245","176"
"Calfornia","BevMo!","330 N. La Cienega Blvd","Los Angeles","90048","-118.376265","34.077080","177"
"Calfornia","BevMo!","2237 Otay Lakes Rd","Chula Vista","91915","-116.968409","32.647362","178"
"Calfornia","BevMo!","21660 Valley Blvd","City of Industry","91789","-117.832888","34.027163","179"
"Calfornia","BevMo!","3808 S Mooney Blvd","Visalia","93277","-119.313276","36.296188","180"
"Calfornia","BevMo!","7070 Marketplace Dr","Goleta","93117","-119.874010","34.429634","181"
"Calfornia","BevMo!","9755 Mission Gorge Rd","Santee","92071","-116.984811","32.837345","182"
"Calfornia","BevMo!","1937 E. 20th Street, Suite A-1","Chico","95928","-121.804307","39.725548","183"
"Calfornia","BevMo!","2418 West Kettleman Lane","Lodi","95242","-121.304509","38.115021","184"
"Calfornia","BevMo!","2860 West grant Line Rd","Tracy","95304","-121.468102","37.753120","185"
"Calfornia","BevMo!","1309 South Bradley Road","Santa Maria","93454","-120.420765","34.937871","186"
"Calfornia","BevMo!","26540 Carmel Rancho Blvd.","Carmel","93923","-121.906007","36.542249","187"
"Calfornia","BevMo!","5644 Mission Center Road, Suite 202","San Diego","92108","-117.157334","32.774393","188"
"Calfornia","BevMo!","19201 Golden Valley Road","Santa Clarita","91387","-118.466756","34.393722","189"
"Calfornia","BevMo!","15100 Hesperian Blvd., #400A","San Leandro","94578","-122.128121","37.701024","190"
"Calfornia","BevMo!","12625 Frederick Street, Suite G-2","Moreno Valley","92553","-117.263608","33.936571","191"
"Calfornia","BevMo!","401 Kenilworth Dr, Suite 1110","Petaluma","94952","-122.623375","38.241872","192"
"Calfornia","BevMo!","5634 Sepulveda Blvd","Culver City","90230","-118.394245","33.989816","193"
"Calfornia","BevMo!","2301 Claribel Rd","Riverbank","95367","-120.956071","37.711412","194"
"Calfornia","BevMo!","326 S. Mountain Ave","Upland","91786","-117.668373","34.089799","195"
"Calfornia","BevMo!","1095 East 19th St","Upland","91784","-117.635895","34.131957","196"
"Calfornia","BevMo!","1700 J Street","Sacramento","95811","-121.483693","38.577509","197"
"Calfornia","BevMo!","7562 Mission Grove Parkway South","Riverside","92508","-117.324043","33.913879","198"
"Calfornia","BevMo!","1626 Broadway St","Eureka","95501","-124.178655","40.792633","199"
"Calfornia","BevMo!","500 E. Danenberg Drive, Suite 3","El Centro","92243","-115.534551","32.768043","200"
"Calfornia","BevMo!","125 Vista Village Drive","Vista","92084","-117.248677","33.195773","201"
"Calfornia","BevMo!","2970 East Workman Ave","West Covina","91791","-117.882785","34.074882","202"
"Calfornia","BevMo!","22372 El Paseo, Suite A","Rancho Santa Margarita","92688","-117.592005","33.639961","203"
"Calfornia","BevMo!","4214 Lincoln Blvd.","Marina Del Rey","90292","-118.443936","33.986667","204"
"Calfornia","BevMo!","10650 Stockdale Highway, Suite 500","Bakersfield","93311","-119.122244","35.351435","205"
"Calfornia","BevMo!","961 Emerald Bay Road","South Lake Tahoe","96150","-120.005460","38.915026","206"
"Calfornia","BevMo!","1095 Herndon Ave, Suite 101","Clovis","93612","-119.697629","36.839434","207"
"Calfornia","BevMo!","3319 Jefferson Street","Napa","94558","-122.300404","38.321569","208"
"Calfornia","BevMo!","201 Palos Verdes Blvd","Torrance","90277","-118.385534","33.816972","209"
"Calfornia","BevMo!","3590 Mt. Diablo Blvd.","Lafayette","94549","-122.122435","37.891825","210"
"Calfornia","BevMo!","4645 Candlewood St","Lakewood","90712","-118.138272","33.854252","211"
"Calfornia","BevMo!","15525 Whittier Blvd","Whittier","90603","-117.995511","33.946042","212"
"Calfornia","BevMo!","333 S. Palm Canyon Drive Suite 4","Palm Springs","92262","-116.547111","33.818772","213"
"Calfornia","BevMo!","34215 Pacific Coast Highway","Dana Point","92629","-117.694871","33.466814","214"
"Calfornia","BevMo!","5717 E Santa Ana Canyon Road","Anaheim Hills","92807","-117.789747","33.852854","215"
"Calfornia","BevMo!","3777 Willow Glen Drive","El Cajon","92019","-116.929185","32.743988","216"
"Calfornia","BevMo!","5765 Johnson Drive","Pleasanton","94588","-121.906793","37.699269","217"
"Washington","BevMo!","910 NE Park Drive","Issaquah","98029","-122.019554","47.543420","218"
"Washington","BevMo!","2176 148th Avenue NE","Redmond","98052","-122.141401","47.629471","219"
"Washington","BevMo!","850 NW 45th Street","Seattle","98107","-122.367975","47.661850","220"
"Washington","BevMo!","700 SE 160th Ave., Suite 111","Vancouver","98683","-122.508270","45.617080","221"
"Washington","BevMo!","1100 Bellevue Way NE","Bellevue","98004","-122.201169","47.620323","222"
"Washington","BevMo!","17197 Southcenter Parkway","Tukwila","98188","-122.262895","47.449358","223"
"Washington","BevMo!","114 West Stuart Road","Bellingham","98226","-122.487418","48.801194","224"
"Washington","BevMo!","2330 S. 37th Street","Tacoma","98409","-122.468257","47.222791","225"
"Washington","BevMo!","3126 NW Randall Way","Silverdale","98383","-122.691847","47.660240","226"
"Washington","BevMo!","10700 5th Ave NE","Seattle","98125","-122.322663","47.706900","227"
"Arizona","BevMo!","2370 W. Happy Valley Road, Suite 1061","Phoenix","85085","-112.110664","33.714475","228"
"Arizona","BevMo!","21102 South Ellsworth Loop Road","Queen Creek","85142","-111.639282","33.256609","229"
"Arizona","BevMo!","6228 East Broadway, Suite 100","Tucson","85711","-110.859733","32.220218","230"
"Arizona","BevMo!","4646 North Oracle, Suite 130","Tuscon","85705","-110.977425","32.291124","231"
